322,ENSENANZA DE LA EDUCACION FISICA,517
323,OPERACIONES,1072
324,AGRICULTURA Y SOBERANIA ALIMENTARIA,170
325,FINANZAS,766
326,FISIOTERAPIA,1610
327,CONTADURIA,7
328,MANTENIMIENTO,592
329,ESTUDIOS POLITICOS Y DE GOBIERNO,441
330,BUSQUEDA Y SALVAMENTO,80
331,ADMINISTRACION TRIBUTARIA,1682
332,PRODUCTIVIDAD,224
333,BOMBERIL,1617
334,PROCESOS DE APRENDIZAJE EN ORIENTACION PASTORAL,517
335,GESTION DE POLITICAS PUBLICAS Y BIENESTAR SOCIAL,441
336,TERAPIA FISICA Y REHABILITACION,1337
337,GESTION ADMINISTRATIVA DEL TALENTO HUMANO,441
338,COMUNICACION PARA EL DESARROLLO CIENTIFICO,315
339,MANTENIMIENTO,1187
340,ESTUDIOS DEL TRABAJO,270
341,GESTION UNIVERSITARIA,441
342,INTELIGENCIA MILITAR,274
343,INFORMATICA,1483
344,RETARDO MENTAL,544
345,MECANICA AERONAUTICA,1078
346,GESTION Y LIDERAZGO EDUCACIONAL,517
347,GESTION DE SALUD INTEGRAL,441
348,IDIOMAS EXTRANJEROS INGLES Y FRANCES,517
349,CRIMINOLOGIA,441
350,GESTION DE SALUD,441
351,MEDICINA DEL TRABAJO,1606
352,DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS,405
353,PROCESAMIENTO AUTOMATICO DE DATOS,7
354,OBSTETRICIA,634
355,MANTENIMIENTO,1722
356,COMUNICACIONES Y ELECTRONICA,274
357,INTELIGENCIA AEROESPACIAL,274
358,INFORMATICA Y COMUNICACION,441
359,ADMINISTRACION Y GESTION SOCIAL,441
360,EDUCACION PARA LA SALUD,1337
361,DESARROLLO SOCIAL,441
362,GESTION DE PROCESOS ADMINISTRATIVOS,441
363,INFORMATICA Y DISENO INSTRUCCIONAL,517
364,GERENCIA,517
365,MERCADEO AGRICOLA,7
366,SALUD Y SOCIEDAD,270
367,GESTION DE SEGURIDAD INTEGRAL,441
368,FISICA,1483
369,SEGURIDAD Y DEFENSA INTEGRAL,441
370,AGROPECUARIA,520
371,GERENCIA FINANCIERA,766
372,ADMINISTRACION DE RECURSOS FISICOS Y FINANCIEROS,253
373,ALOJAMIENTO,1779
374,DERECHO,200
375,ARTE,517
376,DOCENCIA AGROPECUARIA,517
377,COMERCIALIZACION,1254
378,ADUANAS Y COMERCIO EXTERIOR,238
379,EDUCACION PARA ADULTOS,1337
380,TRABAJO SOCIAL,441
381,FISCALIZACION Y GESTION PUBLICA,441
382,DISENO GRAFICO,128
383,DISENO,486
384,DESARROLLO ARTISTICO,1337
385,FITOTERAPIA,1275
386,ELECTRICIDAD,274
387,GERENCIA PUBLICA,202
388,GASTRONOMIA Y ARTES CULINARIAS,441
389,ARMAMENTO,274
390,TRANSITO AEREO,274
391,GERENCIA DE RECURSOS HUMANOS,7
392,CONTROL DE TRANSITO AEREO,80
393,ELECTRONICA PARA LA SEGURIDAD DEL TRANSITO AEREO,1022
394,GESTION DE TRIPULACION DE CABINA DE PASAJEROS,80
395,PUBLICIDAD,1255
396,MERCADEO,766
397,COMUNICACION PARA EL DESARROLLO ECONOMICO,315
398,INTERPRETE DE DANZA CONTEMPORANEA,364
399,GERENCIA DE EMPRESAS,7
400,DIDACTICA,517
